,tweets
254, que supuestamente un chófer agredió una pasajera cuando ella era la que estaba borracha otra que se la había llevado un uber pero el tenía pruebas que la dejo en su destino ella se fue amanecer otro lado pero el chófer era el malo hasta que apareció la prueba
255,nunca más ni para comprar comida viajes encomiendas aceptan cualquiera como chófer a la primera que puede estafar lo hace este señor no finalizó el viaje se fue pasear eso sí antes me preguntó si pago con tarjeta soporte de uber ni les importa 
256, aquí pongo la imagen donde hoy solo realice un viaje 
257, cómo puede ser posible que me hagan doble cobro de una sola carrera que les pasa el valor puede ser mínimo pero si uno confía en ustedes ingresando los datos de un tc deberían cobran solo lo que corresponde necesito que me devuelvan el valor 
258,por qué todos los conductores de piden que uno se siente adelante sea dónde están las famosas medidas de bioseguridad lo peor es que si dices que no ellos son los primeros en ponerse bravos cancelar el viaje
259, una consulta cuando me hacen la devolución del cobro temporal es complicado que se me cobré por cada intento de pedir un taxi cuando las unidades no aceptan la carrera peor aún cuando se está haciendo el cobro en una tarjeta de debito
260, es pet friendly me quedan dudas me confirman si es así por favor 
261,pilas todas operan en ese sistema 
262, hola me están cobrando un viaje que yo no tome por favor si ayuda el valor es de 
267, yo sabía mí me devolvieron mi cell haces alos atras
268, por eso si te cancelan la carrera lo más seguro es que te busquen otra de no ser el caso te reembolsan la tarjeta no es inmediato si en días no te han devuelto ahí si quéjate 
269, yo no cancele el cancelo sigo esperando el reembolso ya hasta me contacte con uber no obtengo respuesta 
270, siempre cobra antes aún así te cancele te busca otro en caso de que ya canceles tú la búsqueda siempre te reembolsan 
271, siempre cobra anticipado antes de incluso encontrar un conductor pero suele devolver en algunos minutos hace cuanto pediste la carrera también puedes comunicarte con uber support en la app contestan de inmediato
272,son unas ratas me cobran de la tarjeta el taxi me cancela ni siquiera me devuelven el monto pésimo servicio 
273, hoy envié unos familiares su domicilio yo tenía un crédito favor al momento del cobro el conductor les dicho el valor cancelar usando mi crédito pero ellos pagaron completo el valor del viaje el conductor no puso la diferencia mi crédito 
274, jajaja no hemos sido amigos antes por eso no te lo he dicho igual no tengo tu número de celular para conversar que me preguntes cualquier cosa pero bueno si lo deseas allí estoy para ayudarte 
275, me lo hubieras dicho desde el inicio jajaja siempre se me han perdido cosas pero bueno ya caso cerrado
