,tweets
3986, porque no le puede llevar atrás si dicen ser legal 
3987, pero de manera legal carros particulares no tienen permisos de trabajar porque creen que ese señor pide ir adelante porque si van atrás les multan porque es ilegal
3988,maltratador de mujeres vergüenza para 
3989, queremos ver la reacción de la publicación de las medidas que se tomaron para el despido de este intrépido personaje 
3990, este individuo no debería andar por las calles
3992, este es mi ecuador mediocre solo publican lo que les conviene tahiticos la medalla tiene dos lados típico de la seño que solo publica lo que le duele ojo no soy taxista ni uber es mas no sé ni manejar auto 
3993,tenaz atender sancionar 
3994, hay una conversación discusión previa eso no se observa bién en el video después viene lo que vemos sin todo el panorama completo me es difícil saber quién tiene la razón quién tiene la culpa 
3996, la amt no puede sancionar porque el servicio realiza no esta legalizado la sanción seria por prestar un servicio ilegal ahí los únicos son los de la aplicación si quieren lo sancionan ya las aplicaciones son ilegales para prestar ese servicio con vehículos particu
3997, cómo siempre viendo solo una de las partes porque no hablas de la actitud de la mujer se sabe perfectamente que en los taxis de plataformas no se puede ir atras ya que se exponen multas la actitud del chófer es pésima pero de ella tampoco es adecuada se justa 
3998, diablos tiene ver el carro chino 
3999, los dos protagonistas son peligrosos 
4000, pero la chica tiene la culpa porque le provoca con ese justificactivo entonces que la bestia esa le mate cada dia la sociedad esta mas podrida 
4001, florindo con carro chino odiador machista cachueleando como siempre prepotente mal educado uber haga lo suyo 
4002, deben de salir las plataformas legalizarse
4003, la actitud de la mujer eso no escucho 
4004, la actitud de la mujer 
4005, sole yo hago uber ha veces han subido pasajeros que quieren desquitarse con uno pero jamás actúe así respiro profundo digo tranquilo en minutos acabará todo el próximo pasajero será diferente 
4006, terrible este comportamiento deben sancionar este conductor nos hace quedar mal todos 
4007, no pueden hacer nada el auto es ilegal la amt no puede sancionar si hubiese sido un taxi convencional el que hacía eso ya me imagino como le hubiesen caído todos 
4008, un peligro 
4009, terrible el trato de esta persona malcriado aparte de todo violento por favor hacer algo 
4010, chófer de uber en ecuador que reacciona una crítica de una clienta disconforme con el servicio mala educación agresivo raudales pero lo de escupir un cliente no tiene desperdicio vaya espécimen de persona 
4011, por uno pagan todos terrible lo agresivo que es este tipo que bueno lo grabó 
4012, es enserio así como le putean al conductor también deberían hacerlo con la chica los dos están volados 
4013, como saber si es uber cabify indriver de otra aplicación simplemente informal 
4014, donde dice que ese conductor es de puede ser indriver cabify cualquier otra aplicación 
4015, ojalá lo boten ayuden seguir las acciones legales contra este hijo de puta si no lo hacen se convierten en cómplices 
4016,gente como este maricon pelearse con mujeres deberían sacarlo no volverlo aceptar en ninguna plataforma pdi 
4017,que vergüenza en el tiempo que hice uber fui muy amable es más mi me paso al revés ojala le denuncie porque en esta epoca que uno le lancen un escupitajo es peor que un amenaza con arma 
4018, pata eso está mejor indriver
4019,pero qué es esto 
4020, incluso deben multarle la plataforma por daños perjuicios
4021, no permitamos que estos energumenos traten mal una dama es urgente una sanción 
4022,tipo repugnante salvaje asqueroso infeliz no porqué que sea te tienen que obligar sentarte adelante en pandemia agarrar un taxi sola como mujer en estos tiempos da terror básicamente no existen opciones seguras 
4023,qué servicio para este tipo de servicio mejor voy en bus 
4024, he visto profesionales con taxi legal con operadora que son peores que ese tipo así que no se trata de tener una licencia una cooperativa sino de educación eso no se compra 
4025, total pero también de la 
4026, gracias por el informe rocket power pero igual qué miedo ese tipo
4027, la culpa es de ella ya que empieza con esa fea manera luego claro ya se hace la víctima típico en varias mujeres lanzan la piedra luego esconden la mano 
4028, pronunciarse ya despidió este sujeto ya cerró su cuenta para que no esté activo cuál es la sanción para este tipo de elementos 
4029, me imagino que los de ya lo tuvieron que expulsar 
4030, en realidad no son todos pero este si les hace quedar re mal por iniciativa propia deberían separarlo nosotros retweetear para que este personaje reciba lo que se merece
4031, se hace la víctima también la mujer de parte parte hay falta de respeto
4032, los dos actúan pésimamente el señor le dice tenga la bondad la chica le golpea la puerta lo graba luego le patea el carro el otro obviamente indignado agrede verbalmente de una forma horrible dos individuos con pésimas actitudes quien el peor cada uno júzguelo 
4033, autoridades municipales esto están expuestos los usuarios de estas app ilegales no hay ningún justificativo para que trate de esa forma una dama este sin vergüenza abusivo esperemos haber cómo reaccionan las autoridades 
4034, simple cancele la carrera se evita tantos problemas pésima la actitud de la chica 
4035, totalmente de acuerdo si bien es cierto que el conductor reaccionó mal es luego de que la chica le haya lanzado la puerta de forma muy violenta 
4036,dos cosas por qué los conductores de siempre piden que el usuario se siente adelante uber es un servicio legal regulado si grava iva creeríamos que si esto es violencia 
4037, porq no opinas lo que hace la chica le explica de buena manera lo que pasa le dice entonces no por favor siga nomas la tipa le tira la puerta hjpt mi me tira la puerta de mi carro se jode igual 
4038, que asco de gente la plataforma debe eliminarlo no darle chance más de trabajar ahí que vergüenza
4039, jajaja profecionales pero solo el ducumento de ahí para conducir son una porquería la mayoría de taxistas si eres taxista ojala no seas de esa mayoría
4040, ahi está equivocado está plataforma es legal está pensada como una ayuda además lo que nadie tiene ve es que el usuario es quien elige en que movilizarse nadie puede imponer nada al usuario soy usuario de uber apoyo está iniciativa todos deben trabajar
4041, deberían expulsarlo así tipos que se encuentran para las damas son un peligro 
4042, después de contactarlos para pedir reembolso por no entrega de producto sus respuestas no justificadas por una supuesta espera del repartidor sólo indican que confían más en lo que indica el repartidor no la evidencia de las llamadas 
4043, deben remover todo lo ilegal todas esas plataformas son ilegales para trabajar hay que tener licencia profesional primero luego calificar en una operadora legal de taxis pero como el negocio es entre panas no pasa nada corruptos incluso los que usan las plataformas 
4044, su servicio de comida es un desastre más de una hora de espera comida fría pedido incompleto casi entre recargos servicio de entrega 
4045, sole sin justificar al individuo creo que la actitud de la srta es pésima el explica que no le puede llevar le cierra la puerta durísimo creo que se debe también juzgar la pésima educación de la srta 
4046, pero la chica no lo provoca no es la primera que genera la violencia al tirar la puerta no justifico lo del chofer pero me parece qué hay que ver el bosque no el árbol
4047,no vuelvo usar hoy debido al tráfico decidí usar la app que me indicaba un valor de esperé casi hora el auto tenía tiempo mi sorpresa me cobran más de es preferible la tarifa dinámica de que es transparente 
4048, no sólo uber la autoridad municipal policial el que sea debería sancionarlo por agresión este individuo
4049,patanes como este señor deben ser expulsados de ahí está clarito el número de placa de ese auto por tipos así se perjudica al resto 
4050,un horror qué tipo más peligroso indignante debería removerlo de su plataforma las autoridades hacer algo al respecto 
4051,me acaban de cobrar diez veces por una carrera que la app nunca aceptó no hay reverso de esos cobros quién responde 
4052, ese tipo anda en 
4054, hasta cuando permiten este abuso de estas plataformas exploradoras 
4055,pilas con esos representantes 
4057, eres uber soy usuario de uber espero confirmen la sanción desvinculación de este patán alevoso
4058, qué asco el hijueputa cómo pretende ganarse el pan con esa actitud 
4059, desvinculación urgente de este animal 
4060, totalmente de acuerdo este sujeto es un peligro intento de agresion fisica agresion biologica insultos vocabulario de borracho delincuente hasta cuando por lo menos sanciones por contravenciones puntos menos urgente sacar este sujeto 
4061,estos son su conductores parte que no controlan las cuentas alquiladas 
4062, este tipo tiene que ser desvinculado se debe tomar acciones legales por su actuar 
4063, anoten las placas que vergüenza en 
4064, es verdad uno ya no puede tener preferencias porque en seguida es atacado se esa manera me ha pasado varias veces en siempre califico con lo debido pero parece que no funciona personalmente últimamente prefiero al taxismo que parece mejorar
4065, despidan este simio 
4066, por favor su confirmación de la desvinculación de este imbécil de su plataforma
4068,atender 
4069, esos son sus conductores 
4070, quien pertenezca este animal por favor bloquearlo rt para que lo ubiquen la bestia del volante 
4071,señores por favor tomar las acciones pertinentes ante este mal elemento cómo rechazamos estás malas actuaciones por favor señores tomar las acciones respectivas este mal elemento placa pdi 
4072, deberían ver uber eats ecuador son una amenaza en las calles manejan con total imprudencia son groceros así como ecuador lo mismo amenaza en las calles no hay un control para estos señores que obtuvieron licencia regalada 
4073, apoyo total pero lamentablemente con palabras no se consigue nada mientras se ríen en la cara de los entes de control limpiándose con la ley 
4074,gracias acaban de perjudicar mi trabajo 
4075,no confíen en amiguitos pesar de que demuestres que el conductor te robó no se responsabilizarán 
4076,no se si les pasa pero molesta cada vez que al bajar el pasajero tiran la puerta del carro mejor dicho azotan la puerta 
4077,según las normas de seguridad no debe ir en el asiento del copiloto el pasajero entiendo cuando sean mas de personas pero cuando es igual se sube como decirle sutilmente xuxa andate atrás sin mascarilla 
4078,cliente me dice amigo la dirección no es la que puse puede ir mas allá yo le digo ósea cuando ya llegamos al sitio me dice eso es un poco mas lejos después me dice déjeme aquí nomás 
4079, las tienen que escoger mejor sus repartidores más control de estos negocios 
4080,pilas con las entregas domicilio 
4081, basta del abuso el otro día se fue mi celular en un carro de llame al taxista fingió demencia tube que coger otro taxi seguirle amenazarme con llamar la policía si no me abría el carro por que mi celular seguía en el asiento trasero
4084, no sé si te sirva pero uber tiene una sucursal física por la carolina 
4086, pésimo servicio señores casos de violaciones robos descarados de sus chóferes uds no hacen nada en lugar de mejorar empeoran personalmente opino es la peor empresa app de encomiendas servicio 
4087, será que si le escribo fb me responde jaja
4088, ponte once con este caso un chofer pierde un paquete no hay responsables no se puede confiar en uds hagamos rt para ayudar 
4089,si no logro recuperar ese pedido tendré que reponerlo de mi dinero además perderé un cliente ayúdenme hacerlo viral para que se responsabilice 
4090,ese paquete era el pedido de un cliente que contenía en productos de eeuu estoy muy preocupada porque los que usan saben que una vez cancelado el viaje ya no tienes cómo comunicarte con el chofer
4091,no se si sirva de algo contarlo pero hoy pedí que entregue una encomienda en quito el chofer retiró el pedido pero nunca llego al punto de destino me dijo que había perdido el paquete después de eso canceló el viaje 
4092, escribo de guayaquil ecuador
4093, ya han pasado días desde que puse la denuncia en la app por el robo de mi celular por este conductor ustedes con su silencio se vuelven cómplices de esto no me duele tanto la pérdida del telefono sino todas las fotos que tenía de mi familia 
4094, srs buenas noches desde que empecé trabajar con uds no me han depositado semanalmente lo me toca de cobros credito por favor su ayuda
4095, acaba de hacerme una cagada estoy intentando mantener la compostura pero en enserio no es posible 
4096, please que pasa con uber ecuador dan mal servicio no solucionan los problemas de las fallas de los restaurantes hoy pedí yogur naturissimo llegó incompleto el pedido nadie soluciona 
4097, grabé el audio de un viaje la parte superior de la imagen lo dice pero no me permite reportar de qué sirve 
4098,cuanto creen que me cobre un uber de aquí ecuador 
4099, que buena campaña pana los lugares de entretenimiento deberían de pensarlo como hizo con famosos te daban un código para descuento pero bueno eso con famosos nosotros los como aplicaría me imagino entrenado diciendo tengo un código jaja 
4100, necesito saber porqué me llega un consumo las del de diciembre si yo no he salido es urgente
4101, el servicio de su plataforma de es una porquería su servicio es pésimo deplorable se demoran en enviar un pedido no tienen una función ágil para cancelar pero igual me cobran el pedido cuando uds se demoran ladrones
4102, one of your deliveryman simply stole the delivery we bought thru uber eats in quito ecuador he blocked us in whatsapp and did not replied to our messages we need reinbursment of the money you should ban this person for more details please reach me out thru dm
4105,pero él nunca llegó por favor podrían decirme que hacer ya que el señor aun no cancela el viaje si no lo hace no voy poder usar la app más ya me ha pasado otras veces que aceptan el viaje no llegan me toca cancelarlo me toca pagar ya estoy harta
4106,el día de hoy pedí un en la app me parecía que estaba terminando un viaje cercano que llegaba en minutos pasó el tiempo no llegaba le envié un mensaje no respondió después de diez minutos más le volví escribir nada luego le dije que ya no viniera 
4107,siempre habrá errores lo bueno es averiguar como solucionarlos gracias un excelente servicio que sin duda merece cinco estrellas 
4108, necesito hacer un reclamo de tres consumos que no he realizado cuál es el medio 
4109, tengo consumos en uber eats que no he realizado necesito hacer el reclamo por qué medio lo puedo hacer en la aplicación que nunca he usado no veo opción
4111, necesito reportar un objeto perdido en el vehículo que pedí de uber aquí en guayaquil
4112,nueva modalidad de robo en hoy solicité un carro para dirigirme mi trabajo en la app indicó el precio de la carrera sin embargo en el trayecto el conductor dio vueltas vueltas para llegar al lugar de destino ya in situ el precio se incrementó casi al doble
4113, noooo 
4114,verán salí de mi trabajo estaba por llegar mi casa de repente mi uber bajó la velocidad se hizo un lado igual que el carro mi izquierda pensé que un perrito porque dijo uy no pero no era una ancianita en media calle el carro de adelante la botó 
4115, what 
4116, buenas tardes su ayuda ya subí toda la información pero aun no puedo iniciar su ayuda
4117,según este es el ministerio de litoral gracias por dejarme botado en medio de la nada 
4118,te das cuenta que vives en el er mundo cuando te detiene un vigilante por el simple hecho de ir en un ojalá dediquen la misma energía detener delincuentes dejen trabajar 
4119, o mejoren el servicio seleccionen mejor los choferes
4120, necesito que me ayuden con un reclamo contacto con un conductor no termino el viaje en el punto de llegada me salio un valor mucho mas alto porque lo termino super lejos 
4121, tengo este inconveniente me refleja que tengo un valor pendiente porque supuestamente no pagué mi carrera completa pero aquí sale que si lo hice la carrera la pagué en efectivo ahora que debo movilizarme debo pagar un faltante que no debo 
4122, todos los conductores se están pasando indriver ya que los precios de uber cabify ha disminuido drásticamente la carrera mínima menos comisión le deja al conductor con tarjeta de crédito en indriver la mínima es el cobro es en efectivo
4123, las muchas veces que mi hermans ha tomado un uber nunca ha pasado nada al menos en quito ecuador
4124,la pandemia ha provocado un cambio obligatorio en los comportamientos una de las consecuencias el aumento de uso de apps como más info 
4125, terrible servicio de uno de sus conductores nisiquiera me dejan cancelar no me quiere recoger en el lugar que tengo marcado en el mapa de paso si cancelo tengo que pagar por su tiempo mientras que me han hecho esperar mas de min para asignarme un carro 
4126, con uber me pasó lo mismo pague en efectivo el chofer marco como que no le pagué afortunadamente ellos si me devolvieron
4127, lo mismo me pasó la respuesta es que uber les bajó la tarifa hacen carreras hasta por eso que se les lleva el de cada carrera desde orquideas hasta alborada uber me cobra menos de yo les regalo el cambio porque soy consciente 
4128,por motivos de lesión no puedo manejar he salido en en estos días de los poco más tengo que rogarles para pongan aire acondicionado están bajando notablemente el su servicio atentos con eso 
4129, porqué en esos servicios de uber glovo etc van dos en una moto veces tipo tipa 
4130,es impresionante me quejo porque un conductor no usa mascarilla a mi en un nuevo viaje me pide que me tome la foto pero mi no me llega una foto del conductor usando su mascarilla 
4131,casi nada de información de solo aparece un centro de activación uber con este teléfono uber v es una empresa transnacional de sociedad de responsabilidad limitada constituida en los países bajos 
4132,mientras intento encontrar la información de me encontrado con un serio riguroso análisis sobre la precarización laboral de uber sus repartidores por kruskaya hidalgo amp belén valencia gracias por ser la voz de la justicia 
4133, deben ya colocarles las reglas claras estas plataformaa cumplen se van que esperan realmente son parasitos que abusan de la necesidad no respetan al usuario para ellos son exclusivamente dolares se creen intocables
4134,señores como es posible que cancelen un viaje porque el pago no se lo hace en efectivo sino con tarjeta favor atender este tipo de novedades 
4135,nueva estafa que el te de billetes falsos hdpta 
4136, hoy por más que decía que el conductor si tenía mascarilla cuando llegó oh sorpresa no es posible eso no tienen control al respecto 
4137, lo malo es que con bajar las tarifas no alcanza mientras indriver tiene publicidad en redes sociales uber nada esto solo demuestra un mal manejo de quienes manejan la plataforma aquí en ecuador es como que si no les importara se contentaran con la poca clientela que queda 
4138, ninguna plataforma es mala el problema radica en nosotros los conductores en indriver hay muchísimos que hacen las carreras por las miserias que ofrecen los pasajeros eso daña el negocio para todos por eso creo que uber tenido que bajar las tarifas para competir 
4139,en casi horas no me da los datos de quién contrata conmigo ni el contrato con sus no dicen nada solo quiero ejercer mi derecho la pd los recibos que dan no tienen datos en serio son intocables 
4140, cabify implementó el cuánto antes solamente cobran el de comisión pero los clientes son la tercera parte que uber indriver sabiendo trabajar es bueno pero la gran mayoría son sinvergüenzas deja convertido en la mejor forma que tienen los homosexuales para coger
4141, al menos se podría compensar esta baja de tarifas con más viajes para poder ver ganancias en el día día pero para recuperar el mercado deben de invertir en una campaña agresiva de publicidad es urgente que lo hagan entre más tarden será más difícil la recuperación 
4142, es verdad que uber bajado mucho las tarifas no diferencia entre el día la noche pero considero no le queda de otra pues indriver se adueñado de gran parte del mercado con carreras regaladas uber debe invertir en promover su plataforma así recuperar su clientela 
4143,pedí una comida por me vienen entregar luego de más de hora la comida fría al revisar van compran mi pedido en el local más lejos déjense de huevadas imbéciles 
4144, uber está cobrando demasiado barato al pasajero carreras desde zonas rojas en guayaquil juan montalvo hasta la gallegos lara las de la noche se cobra al cliente al chófer le toca muchas veces el pago es con tarjeta
4145, hola por qué sus tarifas son demasiado baratas las de la noche desde el limonal hasta la juan montalvo dejando una utilidad al chófer de me parece poco ustedes no toman en cuenta la peligrosidad del lugar 
4146, me puede decir cuál porque no lo encuentro 
4147, claro que tiene ruc si paga impuestos como el iva debe de tener ruc obvio 
4148,they were chef student an entertainer an uber driver mother and doctor they were born in thailand bangladesh mexico nepal ecuador and the united states some survived others did not 
4149, pues más atenta la próxima que la gente no puede esperarte horas mientras tú sabes
4150, se queda con mi comida porque en min exactos no me contactó cobran el pedido no se devuelve la tienda se vuelve propiedad del repartidor no tiene ruc no hay quién demandar injusticia total ojalá defiendan 
4151, es verdad que en quito están haciendo operativos a sus conductores les hacen problemas si el pasajero va en el asiento de atrás 
4152, ojo operativo en duran no den papaya 
4153, de miedo 
4154, por qué cobran en las tarjetas de crédito cada vez que se usa antes no cobraban ese valor en tarjetas de otros bancos no cobran esa comisión 
4155, tengo un cobro de un viaje por que nunca lo he realizado ya que en la app que yo uso no consta pero me cobran en la tarjeta que tengo registrada necesito que solucionen eso
4156, buen día soy de ecuador me registre en uber driver pero me pide ruc yo ya subí un documento pero aun no me aceptan habrá que realizar otro paso 
4157, invítale una merienda lo menos 
4158, comprate otra billetera ñaño que esa no la vas ver es nuncaaaa
4159, cuando te compras un carro 
4160, por favor inviertan en comerciales través de radios redes sociales fortalezcan la aplicación uber bajó las tarifas subió las seguridades pero pocos lo saben hay que hacer una campaña agresiva en redes uber es lo mejor vamos con todo 
4161, le metiste un billete al pana
4162, todavía tenemos gente buena
4163, cómo es que tiene no lo merecemos freddy 
4164, el billete que había confirma
4165, excelente 
4166, un acto honrado tb fue una vez que un señor que cuida carros mantuvo la llave de un carro en su poder porque al dueño se le quedó prendida en la puerta regresó como h después 
4167, cómo bajo unas cajitas de heineken para el honrado
4168, tanto alboroto guárdalo bien deja de hacer propaganda 
4169, dale una nevera heineken 
4170, chuta que bacán pero mí uber me cobró una carrera sin haberla hecho el conductor me la cancelo nunca me devolvieron el dinero 
4171, buena fuera la paridera que tuve todo el día cancelar todas las tarjetas no fue chistoso 
4172, me huele publicidad 
4173, falta la frase de tu parce juan carlos 
4174, bañalo
4176,recuperé mi billetera viva la gente honrada como freddy gracias por su gran soporte hoy 
4177, por qué me cobran en efectivo luego no declaran el pago ahora me sale valor adeudado por favor ayudenme solucionando esto 
4178, cada vez que pierde el madrid el amigo deja todo olvidado si no 
4179, edificio marriot vaya
4180, ya saca tus documentos otra vez jaja
4181, ya olvídate de eso jajajja
4182, seguramente te salaron donde estuviste hoy 
4183, ya no la aceptes ya se entrego otro se dejo despojar si vuelve vuelve sin nada jajajaj
4184, señor conductor que uber quédese con los papeles devuelva el billete 
4185, puedes entonces contactarte con un agente de uber si seleccionas la opción de que no haz podido contactarte con tu conductor
4186, llamando pues
4187, lo hice pero aún no tengo respuesta 
4188, gracias amigo lo qué pasa es que no tengo el número para llamarlo 
4189, si vuelve siempre fue tuya si no vuelve nunca lo fue 
4192, tocayo usa la opción de reportar artículos perdidos yo recuperé así unos zapatos que dejé olvidados 
4193, si te sirve en la opción te ayudan comunicarte con el conductor solo hay que seguir los pasos saludos 
4194, si amas tu billetera déjala ir
4195, buenas tardes revisa en la plataforma de uber tu última carrera ahy te salen los datos del conductor yo soy conductor de uber
4197,se me quedó mi billetera en un no tengo como comunicarme con mi conductor ayuda gracias de antemano 
4198,sres el domingo de noviembre tuve dos cobros indebidos el mismo domingo los denuncié no he recibido reembolsos yo uso mucho este sistema me parece un abuso de parte de estos dos conductores ustedes no me han dado respuestas
4199,hola siguen sin solucionarme lo que les comente hace días dm ayuda por favor 
4200, cuando ya se ponen en espera aún no llegan al punto
4201, cuando te cancelan veces seguidas el mismo conductor porque quieren que paguen en efectivo no en tarjeta
4202, yo te dije es una porquería siempre hacen lo mismo
4203, lanza nueva opción de para que los usuarios compensen su 
4204,los conductores de son lo peor siempre van por el camino más largo incluso cuando les indico por dónde ir se van de largo simplemente van despacio que falta de respeto con sus usuarios
4206, hola en quito ecuador en la tarifa del pasajero no se refleja el monto de los peajes como se realiza el reclamo 
4208, pero porque hacen eso dañan su propio trabajo te juro que yo ese día estaba tan cansada que el señor me dio lata todo el camino yo solo quería llegar estaba modo que no quería discusiones pero se me cargó feo me puso mala calificación de paso 
4209,uber eats sin placa manejando como loco en cumbaya se pasa el semaforo casi le chocan siguió andando toda ojalá lo puedan identificar 
4210, chuta mi no me suele pedir código será porque inicio sesión con facebook en tal caso suele ayudar en esos casos 
4211, si cuando pones el número de celular te envían un código de seguridad al número que está en el celular que se quedó botado si lo haces desde otra cuenta te sale únicamente la info de la otra cuenta lo intente todo no se puede contactar uno con directamente 
4212,apagó tal vez si existiera una forma directa de contarse con se hubiera podido recuperar el celular we ll never know 
4213,mi papá dejó su celular botado en un pero no hay forma de contactarse con servicio al cliente sé que al final es su culpa ser descuidado pero el teléfono sonaba hasta hace unos minutos ya suena apagado pudo ser el conductor pudo ser un nuevo pasajero el que lo
4214, asi maipi cuando voy al ecuador yo me muevo más en uber con divido la ruta con mis hermanos cuando estoy sola 
4215, por favor necesito la dirección de mail twitter para hacer un reclamo en ecuador gracias 
4216, que pésimo servicio cancelan el pedido seguramente no me devolverán el dinero es la da vez definitivamente es decepcionante no recomendado ayúdeme primo con un rt 
4217,ya fue los manes de nuevamente subirán en acciones solo se pedirá domicilio la comida 
4218,estos días los conductores de están valiendo harta verga 
4219, estas empresas glovo rapid uber se convirtieron en casa de extranjeros para hacer de las suyas en ecuador no hay un estudio de la persona cogen al primer cojudo que tenga licencia moto robada además la falta de control estas motos 
4220, ya me aceptaron todos mis documentos cuando puedo iniciar hacer entregas 
4221, oh tienes razón mil disculpas es que vengo manejando soy uber por eso leo de rápido claro que pueden
4222, buenos días estoy teniendo el problema quiero ingresar uber repartidor pero siempre me rechazan los documentos
4223,hola necesito que me ayuden con un problema con mi cuenta por favor
4224,pilas páguenle al amigo no se atrasen 
4225, se burla del trabajador ecuatoriano bajó los precios de una manera absurda para que el conductor ganar clientela pero no se bajaron el porcentaje de ganancia como aplicación ósea trabaja más paga menos explotadores
4227, soy el único que preferiría hacer todo en vez de tener que aguantar el estrés del teletrabajo hasta los días sábado después que nos hayan reducido el sueldo 
4228, tuve un inconveniente lo notifiqué el día que me sucedió es decir hace semanas pero no he tenido respuesta
4229, holaa tengo cargos en mi tarjeta que yo no he realizado quisiera saber qué cuenta esta aliada mi tarjeta porfavor necesito ayuda
4230,lmaooo not my uber telling me and my mom he has two wives one in the states and one in ecuador
4231, hola quiero conseguir un conductor para mí auto xfavor indicarle cómo hacerlo
4232, buena política ojo acá el servicio legal de taxis es más pirata que uber similares yo no confío ni me gusta el mal servicio de taxis en ecuador prefiero uber cabify muy bien servicio seguro
4233, yo lo conozco es un excelente persona también se me quedaron las llaves me escribió para devolvermelas 
4235,aún quedan personas bonitas este señor que ven en la foto nos hizo una carrera al mall del sol en la tarde por mi hermana dejó olvidadas en el asiento las llaves de la casa el señor regresó por la noche para devolverlas gracias rt 
4236,camilo vargas salió mirar si ya venía el uber gol de ecuador 
4238,ya los extrañaba mmvs 
4239, buenas tardes pedí un traslado el conductor no llegó me dijo que el sistema lo llevó un lugar diferente del solicitado ahora quieren cobrar ese viaje que no se hizo era vez que pasa esto 
4240,yo aconsejandole mi hermano que coma más saludable mi también me gustaría tener cuenta de uber eats uber pass para disfrutar de las promociones ya cuando vaya ecuador le daré dinero para que me compré toda la comida para llevar voy engordar seguramente 
4241, buenos dias señores quisiera que me explicaran este inconveniente que tengo el dia miércoles aca en ecuador su aplicación presento problemas el ultimo pedido que tome con la ayuda de una persona de su soporte yo regrese el pedido al restaurante ahora me 
4242, mi una vez me paso pero si me devolvieron el lo que me habían cobrado demás estos si son ladrones aún espero me devuelva una carrera de dólares que me terminaron contaron dólares escribi nunca dieron respuesta 
4243, pero como se te ocurre bajar sin que te cierren la carrera también 
4244,uber pass llega ecuador la membresía para obtener descuentos en viajes comidas 
4246, maintaining an unsafe transportation service will be to cancel it we no longer trust uber in ecuador they will soon leave the country for not monitoring the important rules for the client there are many problems with uber
4247,entonces el uber me recogió en toda la colón todo chill claro que había tráfico porqué ecuador jugaba bueno ahí estaba yo trepada en el uber lista para ir mi casita correr al san marino 
4249, qué requisitos deben cumplir las personas que forman parte de su empresa porque hoy me tocó una ladrona pedí un uber flash ya que no podía ir recoger unas cosas antes de llegar mi casa cerró la carrera se robó todo ahora quién soluciona 
4250,señores si sus conductores no tienen tag del túnel guayasamin un viaje de minutos se torna en no es eficiente gracias
4251, hola hace un mes vi que funcionaban en mi zona ahora me sale que no han llegado la misma vivo en un lugar primordial para el paso de los repartidores me salen con eso guayaquil ecuador
4252,entre la precarización el alivio cotidiano las plataformas uber eats glovo en quito fes ildis ecuador 
4253, yo haciendo uber en ecuador el tipo me quiso humillar pare el auto en medio de la autopista le dije te me bajas de mi auto inmediatamente pinche viejo cabron que sino llamó la policía fue genial verlo bajar 
4254,y es así como se convierten en taxis cualquiera pésimo servicio dejen de asociar emprendedores así 
4255, para cuando sus choferes tiene el tag del túnel guayasamín activo todos cancelan porque no les da la gana de pasar por ahí pésimo servicio
4256, necesito hablar con alguien al respecto este señor nunca me vino ver nunca tuvo la decencia de responder mis mensajes llamadas de paso me canceló la carrera haciéndome perder el tiempo para luego decir falacias 
4257,dejen de invertir en publicidad de mierda mejor póngale asunto sobre la delincuencia la seguridad de sus clientes no son seguros no jueguen con la integridad de los usuarios jamás la confianza en ustedes volverá
4258, señores de uber que está pasando con su servicio me han estafado veces incluso recibí insulto por parte de una persona que hace uso de esta aplicación como medio laboral tengo varios inconvenientes ya que me cobran jamás llegan al lugar solucion 
4259, hoy cancelé una carrera acepté pagar los ctvs de fee después pedí otra carrera que sí realicé al llegar casa me doy cuenta que me cobraron la carreta cancelada dos veces la que sí tomé su ayuda por favor 
4260,hoy como conductor de da pena seguir trabajando para esta app donde ahora cada km cuesta ctvs según ellos para reactivar la economía pero porque mejor no se bajaron el que se llevan ellos cada carrera 
4261, por eso es que mucha gente ahora prefiere uber 
4262, tengo un problema me podrían ayudar 
4263,música en uber guayaquil ecuador 
4264, hello there m from ecuador yesterday lost my keys in car of one of your driving partners in guayaquil city can find anyway to call him what can do nobody help me here 
4265,qué diablos está pasando con el de ya se volvió una constante que los autos no llegan al punto aún con el margen de error de los gps comerciales ya me ha pasado al menos veces los autos están tan lejos desde donde se lo solicitan
4266, uber me quería patear como con dólares carreras que no hice la borré ahí quedó la deuda 
4267, el día de hoy solicité cancelar un viaje porque el conductor me exigía viajar junto él yo lo quería hacer en la parte de atrás por distanciamiento cuál es mi sorpresa que me reporta como no utilizaba mascarilla tomar en cuenta 
4268, así es por eso la elimine
4269,usar es esperar que te pateen no vaya chance de reclamar peor recuperar tu plata 
4270, bueno acá uber naranjas
4271,pilas está fallando tu cm 
4272,las empresas de delivery deberían tener obligatoriamente un número de teléfono para reportar cualquier problema inmediatamente de paso no te contestan ni por dm después de malas experiencias sólo queda eliminar 
4274, ayuda pls 
4275, por qué los transportistas conductores de en quito no tienen la cordialidad de ayudar al pasajero cuando lleva equipaje quizás no sean todos pero usé veces el servicio todos fueron lo mismo se limitan abrir la cajuela que el pasajero se las arregle 
4276, por favor su ayuda para registrarme en ecuador como repartidor ya que solicité el registro para bicicleta me pide licencia matrícula sabemos que la bicicleta no es lo es necesario solo me falta ese paso para que me deje repartir
4277, hoy tomé ubers que me obligaron ir adelante de forma poco gentil esto es inseguro como pueden garantizar la bioseguridad pagamos iva ahora no es excusa el tema los policías de tránsito los usuarios vamos dejar de usar el servicio si siguen así 
